run,final_fitness,evaluations,runtime
1,100.0,100001,4.5727105140686035
2,100.0,100001,4.680914402008057
3,100.0,100001,4.7121288776397705
4,100.0,100001,4.623286485671997
5,100.0,100001,4.549689531326294
6,100.0,100001,3.2596042156219482
7,100.0,100001,3.24726939201355
8,100.0,100001,4.674008369445801
9,100.0,100001,4.570008277893066
10,100.0,100001,4.48480749130249
