run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
10885272703.945415,7122981139.127766,4019673827.375198,8489628439.248703,7293416441.955984,11734578190.34,9798437911.656734,27746146414.167786,5615192764.27525,17633565881.71616
4849556289.105045,7122981139.127766,4019673827.375198,2806017340.3961363,1284341734.5111814,9254024871.54988,7527962667.267846,24792091712.787464,3386306753.2978606,15983614077.599623
4849556289.105045,7122981139.127766,4019673827.375198,2806017340.3961363,1284341734.5111814,7856634503.112777,5307537223.544904,18464826769.373577,1104304152.2610447,13720437235.430096
4453902481.685526,5923507718.888777,1948999443.3496053,1566494384.1601827,1284341734.5111814,4812656566.551884,5307537223.544904,18464826769.373577,1104304152.2610447,11301684270.621056
4453902481.685526,5923507718.888777,1428508010.9025564,1566494384.1601827,1284341734.5111814,3719697972.252457,5307537223.544904,15775772823.818811,1104304152.2610447,11301684270.621056
4453902481.685526,3480755793.4550405,1428508010.9025564,1448354250.5670202,1284341734.5111814,3719697972.252457,3388796386.55089,15775772823.818811,1104304152.2610447,7450619979.474729
3563261010.9874887,3480755793.4550405,1428508010.9025564,1448354250.5670202,1284341734.5111814,3184193516.2666335,3091704132.475801,8122419503.9808655,1104304152.2610447,7450619979.474729
3563261010.9874887,2396889507.2209234,1410473834.6907408,1448354250.5670202,1284341734.5111814,2972010085.5661807,2429308011.129817,4517510576.741842,1104304152.2610447,7450619979.474729
3563261010.9874887,2396889507.2209234,1137459224.5121489,1448354250.5670202,1284341734.5111814,1686357029.9818068,1946179110.083726,4517510576.741842,1104304152.2610447,7450619979.474729
2759501005.7801895,2396889507.2209234,1077708816.5295186,1448354250.5670202,1284341734.5111814,1686357029.9818068,1946179110.083726,4027227059.527409,1104304152.2610447,7450619979.474729
2759501005.7801895,2323256822.8910813,1077708816.5295186,1448354250.5670202,1284341734.5111814,1686357029.9818068,1946179110.083726,4027227059.527409,739684251.2079399,7450619979.474729
2161338251.4953084,2075265909.5532396,1077708816.5295186,1335329656.0054889,1284341734.5111814,1686357029.9818068,1256783488.4524534,4027227059.527409,739684251.2079399,7259155260.114962
2161338251.4953084,2075265909.5532396,1077708816.5295186,998049061.7641761,1284341734.5111814,1366722901.9722657,1181508355.7269282,4027227059.527409,739684251.2079399,6462921031.0581255
2161338251.4953084,2075265909.5532396,1077708816.5295186,885342371.805205,1284341734.5111814,611159335.7810584,1181508355.7269282,4027227059.527409,739684251.2079399,5916947094.985704
1929615018.7479472,2075265909.5532396,1077708816.5295186,885342371.805205,1284341734.5111814,611159335.7810584,843200257.258983,2955416717.2130423,739684251.2079399,5632500518.631508
1929615018.7479472,2075265909.5532396,1077708816.5295186,499001008.65852857,1284341734.5111814,611159335.7810584,626533454.2344474,2955416717.2130423,235512308.59397358,4439365115.0065775
